City;County;GeographicArea;Year;Population;PercentChng_1960;PercentChng_FLAG;Source;geometry
Alameda;Alameda;Bayside;1,960;61,316;1;true;Census;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,970;70,968;1.157414051797247;true;Census;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,971;71,900;1.1726139996085851;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,972;72,900;1.188922956487703;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,973;73,300;1.1954465392393503;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,974;74,800;1.2199099745580273;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,975;73,400;1.1970774349272622;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,976;73,400;1.1970774349272622;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,977;71,500;1.166090416856938;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,978;73,100;1.1921847478635266;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,979;69,600;1.1351033987866137;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,980;63,852;1.0413595146454433;true;Census;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,981;64,200;1.0470350316393764;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,982;64,400;1.0502968230152;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,983;66,200;1.0796529453976125;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,984;70,100;1.1432578772261726;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,985;68,000;1.1090090677800248;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,986;71,300;1.1628286254811142;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,987;69,400;1.13184160741079;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,988;74,400;1.21338639180638;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,989;75,500;1.23132624437341;true;DOF_E4;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,990;73,979;1.2065203209602713;true;Census;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,991;74,577;1.216273077173984;true;DOF_E8;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,992;76,890;1.2539956944353838;true;DOF_E8;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,993;77,142;1.2581055515689217;true;DOF_E8;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,994;78,515;1.2804977493639509;true;DOF_E8;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,995;77,261;1.2600463174375367;true;DOF_E8;POINT (-122.27077297660445 37.773454455000106)
Alameda;Alameda;Bayside;1,996;77,196;1.258986235240394;true;DOF_E8;POINT (-122.27077297660445 37.773454455000106)
