City;County;GeographicArea;Year;Population;PercentChng_1960;PercentChng_FLAG;Source;geometry
Alameda;Alameda;Bayside;2,021;80,884;1.3191336682105812;true;DOF_E5;POINT (-122.27077297660445 37.773454455000106)
Albany;Alameda;Bayside;2,021;17,055;1.1520534990543096;true;DOF_E5;POINT (-122.29568269992984 37.8901639615)
Berkeley;Alameda;Bayside;2,021;116,761;1.049367293381745;true;DOF_E5;POINT (-122.27793562589328 37.875862960000106)
Dublin;Alameda;InlandCoastalDelta;2,021;64,695;;false;DOF_E5;POINT (-121.89051765624586 37.721350016)
Emeryville;Alameda;Bayside;2,021;12,586;4.68577810871184;true;DOF_E5;POINT (-122.29605724181916 37.838485457500084)
Fremont;Alameda;Bayside;2,021;234,239;5.34914364010048;true;DOF_E5;POINT (-121.99537541560937 37.5303549755)
Hayward;Alameda;Bayside;2,021;158,089;2.174539202200825;true;DOF_E5;POINT (-122.09143684942146 37.6251950035)
Livermore;Alameda;InlandCoastalDelta;2,021;91,216;5.680408519118196;true;DOF_E5;POINT (-121.75587137858065 37.68045352650005)
Newark;Alameda;Bayside;2,021;48,859;4.943241602590044;true;DOF_E5;POINT (-122.0255962133979 37.52095199600005)
Oakland;Alameda;Big Three;2,021;435,514;1.1849173441292022;true;DOF_E5;POINT (-122.20856924868653 37.7922869560001)
Piedmont;Alameda;Bayside;2,021;11,296;1.0161014662229018;true;DOF_E5;POINT (-122.23286765297718 37.82270300500005)
Pleasanton;Alameda;InlandCoastalDelta;2,021;78,371;18.646443016892697;true;DOF_E5;POINT (-121.8714699036359 37.66156701300011)
San Leandro;Alameda;Bayside;2,021;87,289;1.323322519026106;true;DOF_E5;POINT (-122.15984643074924 37.70526495500005)
Unincorporated Alameda;Alameda;Unincorporated;2,021;146,958;1.2484114309014918;true;DOF_E5;POINT (-121.65335902515258 37.648909015499996)
Union City;Alameda;Bayside;2,021;72,779;10.997129042006648;true;DOF_E5;POINT (-122.0397689542295 37.599318003)
Antioch;Contra Costa;InlandCoastalDelta;2,021;112,848;6.521121063276509;true;DOF_E5;POINT (-121.79322838618609 37.974318553000046)
Brentwood;Contra Costa;InlandCoastalDelta;2,021;66,097;30.23650503202196;true;DOF_E5;POINT (-121.71672763320089 37.9297615540001)
Clayton;Contra Costa;InlandCoastalDelta;2,021;11,268;;false;DOF_E5;POINT (-121.92934468400732 37.937691535000056)
Concord;Contra Costa;InlandCoastalDelta;2,021;129,273;3.5702883340698186;true;DOF_E5;POINT (-122.00082289573612 37.973324537000096)
Danville;Contra Costa;InlandCoastalDelta;2,021;43,906;;false;DOF_E5;POINT (-121.97424312926076 37.813227526000006)
El Cerrito;Contra Costa;Bayside;2,021;23,729;0.9328537170263788;true;DOF_E5;POINT (-122.29895829518236 37.91801950750005)
