County;Year;Pop;PercentChng_1960;Source
Alameda County;1,960;908,209;1;Census
Alameda County;1,961;933,900;1.028;DOF_E6
Alameda County;1,962;956,000;1.053;DOF_E6
Alameda County;1,963;978,200;1.077;DOF_E6
Alameda County;1,964;1,000,300;1.101;DOF_E6
Alameda County;1,965;1,018,000;1.121;DOF_E6
Alameda County;1,966;1,037,500;1.142;DOF_E6
Alameda County;1,967;1,049,900;1.156;DOF_E6
Alameda County;1,968;1,059,600;1.167;DOF_E6
Alameda County;1,969;1,070,500;1.179;DOF_E6
Alameda County;1,970;1,071,446;1.18;Census
Alameda County;1,971;1,082,330;1.192;DOF_E4
Alameda County;1,972;1,093,880;1.204;DOF_E4
Alameda County;1,973;1,094,600;1.205;DOF_E4
Alameda County;1,974;1,097,670;1.209;DOF_E4
Alameda County;1,975;1,102,810;1.214;DOF_E4
Alameda County;1,976;1,107,350;1.219;DOF_E4
Alameda County;1,977;1,106,020;1.218;DOF_E4
Alameda County;1,978;1,109,850;1.222;DOF_E4
Alameda County;1,979;1,104,250;1.216;DOF_E4
Alameda County;1,980;1,105,379;1.217;Census
Alameda County;1,981;1,117,700;1.231;DOF_E4
Alameda County;1,982;1,134,030;1.249;DOF_E4
Alameda County;1,983;1,151,690;1.268;DOF_E4
Alameda County;1,984;1,170,400;1.289;DOF_E4
Alameda County;1,985;1,185,540;1.305;DOF_E4
Alameda County;1,986;1,206,850;1.329;DOF_E4
Alameda County;1,987;1,220,650;1.344;DOF_E4
Alameda County;1,988;1,242,380;1.368;DOF_E4
Alameda County;1,989;1,261,175;1.389;DOF_E4
Alameda County;1,990;1,276,702;1.406;Census
Alameda County;1,991;1,284,782;1.415;DOF_E8
Alameda County;1,992;1,302,709;1.434;DOF_E8
Alameda County;1,993;1,318,127;1.451;DOF_E8
Alameda County;1,994;1,327,526;1.462;DOF_E8
Alameda County;1,995;1,333,031;1.468;DOF_E8
Alameda County;1,996;1,340,509;1.476;DOF_E8
Alameda County;1,997;1,361,330;1.499;DOF_E8
Alameda County;1,998;1,389,000;1.529;DOF_E8
Alameda County;1,999;1,412,315;1.555;DOF_E8
Alameda County;2,000;1,443,939;1.59;Census
Alameda County;2,001;1,457,185;1.604;DOF_E8
Alameda County;2,002;1,467,063;1.615;DOF_E8
Alameda County;2,003;1,467,892;1.616;DOF_E8
Alameda County;2,004;1,466,407;1.615;DOF_E8
Alameda County;2,005;1,462,736;1.611;DOF_E8
Alameda County;2,006;1,462,371;1.61;DOF_E8
Alameda County;2,007;1,470,622;1.619;DOF_E8
Alameda County;2,008;1,484,085;1.634;DOF_E8
Alameda County;2,009;1,497,799;1.649;DOF_E8
Alameda County;2,010;1,510,271;1.663;Census
Alameda County;2,011;1,525,761;1.68;DOF_E5
Alameda County;2,012;1,545,917;1.702;DOF_E5
Alameda County;2,013;1,569,989;1.729;DOF_E5
Alameda County;2,014;1,590,729;1.752;DOF_E5
Alameda County;2,015;1,613,319;1.776;DOF_E5
Alameda County;2,016;1,631,230;1.796;DOF_E5
Alameda County;2,017;1,644,303;1.81;DOF_E5
Alameda County;2,018;1,651,760;1.819;DOF_E5
Alameda County;2,019;1,659,608;1.827;DOF_E5
Alameda County;2,020;1,663,114;1.831;DOF_E5
Alameda County;2,021;1,656,591;1.824;DOF_E5
Contra Costa County;1,960;409,030;1;Census
Contra Costa County;1,961;425,200;1.04;DOF_E6
Contra Costa County;1,962;439,400;1.074;DOF_E6
Contra Costa County;1,963;457,700;1.119;DOF_E6
Contra Costa County;1,964;473,200;1.157;DOF_E6
Contra Costa County;1,965;491,900;1.203;DOF_E6
