CBSA;Metro;Year;Population;PercentChng_1960;PercentChng_1990;PercentChng_2000;PercentChng_2010;Source
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,960;1,398,465;0;0;0;0;DecennialCensus
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,970;1,852,235;32;0;0;0;DecennialCensus
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,971;1,923,562;38;0;0;0;PopEst80
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,972;1,986,378;42;0;0;0;PopEst80
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,973;2,055,163;47;0;0;0;PopEst80
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,974;2,109,336;51;0;0;0;PopEst80
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,975;2,127,699;52;0;0;0;PopEst80
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,976;2,152,827;54;0;0;0;PopEst80
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,977;2,194,278;57;0;0;0;PopEst80
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,978;2,234,895;60;0;0;0;PopEst80
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,979;2,295,682;64;0;0;0;PopEst80
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,980;2,338,211;67;0;0;0;DecennialCensus
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,981;2,403,399;72;0;0;0;PopEst90
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,982;2,453,630;75;0;0;0;PopEst90
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,983;2,516,560;80;0;0;0;PopEst90
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,984;2,593,867;85;0;0;0;PopEst90
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,985;2,689,451;92;0;0;0;PopEst90
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,986;2,784,922;99;0;0;0;PopEst90
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,987;2,881,785;106;0;0;0;PopEst90
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,988;2,965,369;112;0;0;0;PopEst90
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,989;3,033,138;117;0;0;0;PopEst90
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,990;3,082,308;120;0;0;0;DecennialCensus
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,991;3,195,398;128;4;0;0;PopEst00
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,992;3,291,991;135;7;0;0;PopEst00
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,993;3,402,250;143;10;0;0;PopEst00
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,994;3,523,718;152;14;0;0;PopEst00
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,995;3,644,699;161;18;0;0;PopEst00
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,996;3,765,817;169;22;0;0;PopEst00
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,997;3,888,398;178;26;0;0;PopEst00
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,998;4,021,410;188;30;0;0;PopEst00
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;1,999;4,157,862;197;35;0;0;PopEst00
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,000;4,263,438;205;38;0;0;DecennialCensus
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,001;4,402,455;215;43;3;0;PopEst10
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,002;4,489,288;221;46;5;0;PopEst10
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,003;4,572,541;227;48;7;0;PopEst10
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,004;4,659,574;233;51;9;0;PopEst10
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,005;4,770,870;241;55;12;0;PopEst10
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,006;4,931,848;253;60;16;0;PopEst10
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,007;5,066,356;262;64;19;0;PopEst10
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,008;5,170,099;270;68;21;0;PopEst10
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,009;5,240,828;275;70;23;0;PopEst10
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,010;5,286,728;278;72;24;0;DecennialCensus
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,011;5,366,462;284;74;26;2;PopEst20
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,012;5,444,473;289;77;28;3;PopEst20
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,013;5,510,530;294;79;29;4;PopEst20
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,014;5,593,204;300;81;31;6;PopEst20
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,015;5,686,048;307;84;33;8;PopEst20
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,016;5,787,965;314;88;36;9;PopEst20
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,017;5,872,432;320;91;38;11;PopEst20
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,018;5,945,303;325;93;39;12;PopEst20
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,019;6,020,364;330;95;41;14;PopEst20
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,020;6,101,146;336;98;43;15;PopEst21
Atlanta-Sandy Springs-Alpharetta, GA;Atlanta;2,021;6,144,050;339;99;44;16;PopEst21
Austin-Round Rock-Georgetown, TX;Austin;1,960;301,261;0;0;0;0;DecennialCensus
Austin-Round Rock-Georgetown, TX;Austin;1,970;398,938;32;0;0;0;DecennialCensus
Austin-Round Rock-Georgetown, TX;Austin;1,971;419,249;39;0;0;0;PopEst80
