stop_id,stop_name,stop_lat,stop_lon
000000145,"Leipzig, Arcus Park",51.361549,12.446576
000000152,"Leipzig, Bergstr.",51.340535,12.402015
000000154,"Leipzig, Breitscheidhof",51.351846,12.286913
000000163,"Leipzig, Bremer Str.",51.376178,12.365034
000000164,"Leipzig, Dankwartstr.",51.299188,12.392814
000000165,"Leipzig, S-Bahnhof MDR (Bus)",51.320852,12.385905
000000170,"Leipzig, Erich-Zeigner-Allee",51.327134,12.337815
000000192,"Leipzig, Goetheplatz",51.355432,12.286969
000000223,"Leipzig, Gröpplerstr.",51.334239,12.314676
000000243,"Leipzig, Lindenau, Nathanaelkirche",51.339061,12.332653
000000486,"Leipzig, Lise-Meitner-Str.",51.355178,12.305548
000000613,"Leipzig, Louis-Fürnberg-Str.",51.348684,12.430274
000000688,"Leipzig, Morgensternstr.",51.335053,12.311965
000000689,"Oebles-Schlechtewitz",51.258381,12.060543
000000690,"Roßbach, Kirche",51.260454,11.894380
000000692,"Bad Dürrenberg, Markt",51.301767,12.070358
000000693,"Leipzig, Reinhardtstr.",51.346746,12.430115
000000694,"Leipzig, Rosmarinweg",51.346076,12.428112
000000695,"Leipzig, Schleußig, Karlbrücke",51.326086,12.340523
000000696,"Leipzig, Schwantesstr.",51.353765,12.430238
000000697,"Leipzig, Stünz",51.339647,12.433015
000000698,"Leipzig, Taubestr.",51.357421,12.411295
000000700,"Bad Dürrenberg, Breite Str.",51.297962,12.069731
000000701,"Rückmarsdorf (Leipzig), Tucholskystr.",51.344313,12.274328
000000702,"Leipzig, Wilhelm-Winkler-Str.",51.354182,12.289220
000000703,"Leipzig, Zittauer Str.",51.356100,12.409114
000000704,"Leipzig, Zweenfurther Str.",51.340216,12.431393
000000705,"Leipzig, Cunnersdorfer Str.",51.342090,12.429752
000000707,"Zschernitz, Fasanerie",51.524484,12.217574
000000710,"Löbnitz (b. Delitzsch), Mühle",51.586793,12.463688
000000712,"Portitz (Leipzig), Schule",51.386147,12.455525
000000714,"Weißenfels, Weißdornweg",51.214915,11.992920
000000715,"Weißenfels, Am Klemmberg",51.200790,11.981971
000000718,"Pobles (Muschwitz)",51.201651,12.107356
000000719,"Trebnitz (b. Zeitz), Ort",51.093956,12.067397
000000720,"Borau (Weißenfels), Ort",51.199523,12.006547
000000722,"Teuchern, Busbahnhof",51.120983,12.025728
000000724,"Lobitzsch (Uichteritz)",51.194985,11.906542
000000725,"Goseck, Bergschlösschen",51.193564,11.872755
000000726,"Kößlitz-Wiedebach (Langendorf)",51.171646,11.974711
000000727,"Hohenmölsen, Busbahnhof",51.154046,12.101780
000000728,"Lützen, Gedenkstätte",51.268208,12.157283
000000729,"Meuchen, Ort (Lützen)",51.247347,12.174907
000000730,"Söhesten (Muschwitz)",51.190281,12.131816
000000733,"Poserna, Ort",51.214405,12.082404
000000734,"Lösau, Bad Dürrenberger Str. (Dehlitz)",51.225119,12.032015
000000736,"Röcken",51.240889,12.117537
000000737,"Rippach, Schule",51.226113,12.075196
000000738,"Sössen, Ort",51.215697,12.103922
000000740,"Kölzen (Starsiedel)",51.213252,12.120807
000000741,"Großgörschen, Schule",51.215474,12.181789
000000742,"Lützen, Schule",51.255641,12.140473
000000743,"Langendorf (Weißenfels), Hochheimweg",51.184771,11.961708
000000744,"Weißenfels, Südring I",51.189918,11.962596
000000745,"Weißenfels, Südring II",51.190903,11.968068
000000746,"Leißling, Ort",51.181966,11.907625
000000747,"Weißenfels, Moritz-Hill-Str.",51.198014,11.945743
000000748,"Weißenfels, Goethe-Gymnasium",51.199271,11.966789
000000749,"Weißenfels, Lassalleweg",51.211093,11.993287
000000751,"Weißenfels, Damaschkestr.",51.192850,11.973531
000000752,"Weißenfels, Friedhof",51.195996,11.972174
000000753,"Weißenfels, Rudolf-Diesel-Str.",51.187795,11.980330
000000754,"Weißenfels, Nikolaus-Otto-Str.",51.187088,11.989370
000000755,"Weißenfels, Kaserne",51.193515,11.985536
000000756,"Weißenfels, Alfred-Junge-Str. I",51.200431,11.986885
000000757,"Weißenfels, Alfred-Junge-Str. II",51.203611,11.987349
000000759,"Weißenfels, John-Scheer-Weg",51.212452,11.986189
000000761,"Weißenfels, Otto-Schlag-Str.",51.192071,11.981536
000000762,"Weißenfels, Deutsches Rotes Kreuz",51.200866,11.958834
000000764,"Weißenfels, Max-Lingner-Str.",51.200127,11.938937
000000765,"Weißenfels, Mozartstr.",51.199017,11.948040
000000766,"Weißenfels, Kirschweg",51.197239,11.951504
000000767,"Weißenfels, Krankenhaus",51.195380,11.957109
000000768,"Weißenfels, Stadion",51.199932,11.958445
000000769,"Weißenfels, Käthe-Kollwitz-Str.",51.190574,11.975716
000000770,"Weißenfels, Leopold-Kell-Str.",51.201050,11.965415
000000771,"Weißenfels, Heuweg Park",51.219096,11.967864
000000773,"Weißenfels, Saalstr.",51.199590,11.969085
000000779,"Querfurt, Bahnhof (Bus)",51.386988,11.604769
000000780,"Spielberg, Abzweig (Grockstädt)",51.319312,11.576956
000000782,"Querfurt, Roßplatz",51.381580,11.600913
000000784,"Weißenfels, Busbahnhof",51.202749,11.971793
000000785,"Grockstädt, Abzweig",51.327498,11.575937
000000823,"Leipzig, Porsche/Tor 2",51.399007,12.295227
000000825,"Halle (Saale), Riebeckplatz (Maritim)",51.476883,11.983214
000000851,"Leipzig, Porsche/Tor 3",51.401040,12.284319
000000857,"Moschwig (Bad Schmiedeberg)",51.670176,12.724167
000000874,"Zwenkau, Hafen",51.235132,12.335571
000000910,"Leipzig, Roßplatz/Grünewaldstr.",51.333358,12.376320
000000915,"Torgau, Bahnhof (Bus)",51.562761,12.991856
000000918,"Elsnig, Abzweig B182",51.608643,12.926112
000000919,"Proschwitz (Wörblitz)",51.656632,12.859102
000000920,"Wörblitz (Dommitzsch)",51.661831,12.853312
000000922,"Dommitzsch, Pretzscher Str.",51.641964,12.880387
000000923,"Drebligar (Elsnig), Abzweig B182",51.628711,12.902532
000000966,"Prettin, Drei Linden",51.660962,12.934442
000000967,"Prettin, Lindenstr.",51.662028,12.924919
000001610,"Garsena bzw. Garsena, Hallesche Str.",51.649836,11.793070
000001671,"Morl, Brachwitzer Weg",51.553418,11.919445
000001680,"Könnern, Bahnhof (Bus)",51.674372,11.778616
000001685,"Dornitz, Könnernsche Str.",51.638804,11.808921
000001761,"Könnern, Platz des Friedens",51.673648,11.773873
000001762,"Könnern, Leipziger Str.",51.667387,11.777047
000002034,"Fienstedt, Elisabeth-Zeidler-Str.",51.551545,11.786954
